"Sample","Avg Harmonicity MPEG-7","Harmonicity","Duration (ms)","Size in disk (kb)","Size (kb)","Theor. size (kb)","n (number of frames)","Bit Rate","Sample rate (fps)"
"01_sopranoA.wav","0.9949247548627463","0.9873264528041801","2597.778","229734","229734","229168","114562","705600","44100"
"02_sopranoB.wav","0.9940745536000001","0.9898587559651217","2299.342","203412","203412","202846","101401","705600","44100"
"03_mezzosoprano.wav","0.9885814097149637","0.885796966466574","4255.102","375686","375686","375344","187650","705600","44100"
"04_baritone.wav","0.986910896312849","0.8961590141883226","1838.98","162584","162584","162242","81099","705600","44100"
"05_countertenorA.wav","0.993016831563786","0.765635299597297","2470.272","218270","218270","217922","108939","705600","44100"
"06_countertenorB.wav","0.9948003847257385","0.9975847002689308","2414.649","213364","213364","213016","106486","705600","44100"
"07_bass.wav","0.9944319013953488","0.9991275682860974","2623.8100000000004","231906","231906","231464","115710","705600","44100"
"08_male.wav","0.979622793162393","0.9798443165807896","1214.059","107530","107530","107124","53540","705600","44100"
"09_cello.wav","0.9949101081871347","0.9933593586410898","3463.8779999999997","306098","306098","305558","152757","705600","44100"
"10_saxophone.wav","0.9955775989079884","0.8749028001663391","19824.603","1749158","1749158","1748574","874265","705600","44100"
"11_bassoon.wav","0.9824469944852946","0.7265024456386738","1408.481","124542","124542","124272","62114","705600","44100"
"12_doublebass.wav","0.5755432879850746","0.9953437872941667","1388.458","123032","123032","122506","61231","705600","44100"
"13_frenchhorn.wav","0.9921312194117645","0.9951690162880847","8712.902","768924","768924","768522","384239","705600","44100"
"14_piano.wav","0.9974509190170934","0.9970745416636576","4729.365","417546","417546","417174","208565","705600","44100"
"15_trumpet.wav","0.9974422998483572","0.9975010494445447","70607.982","6227942","6227942","6227668","3113812","705600","44100"
"16_crash.wav","0.4075667468987341","0.1461062214889429","1629.637","143994","143994","143778","71867","705600","44100"
