"Sample","Audio HC","Speech HC","Audio MP3","Speech MP3","Audio AAC","Speech AAC","Audio Opus","Speech Opus"
"01_sopranoA","4.19561","4.06049","3.82564","2.76916","3.26471","1.87639","2.67612","2.44329"
"02_sopranoB","3.50737","3.80063","3.42331","2.31622","2.88394","1.66409","2.94162","3.36412"
"03_mezzosoprano","2.80249","2.34069","3.13039","3.11905","2.9443","1.76185","2.18842","2.3936"
"04_baritone","2.60362","3.52577","2.06589","2.74408","1.83208","1.62828","1.77126","2.48347"
"05_countertenorA","4.20133","3.77052","4.3325","4.0234","2.74967","1.93635","3.50504","3.19534"
"06_countertenorB","4.56868","4.09276","4.66979","4.48765","2.75883","1.64202","4.2732","3.71631"
"07_bass","3.63758","4.32928","4.26631","4.46761","2.52663","1.80297","3.28262","3.28865"
"08_male","3.83095","2.71364","4.0798","4.35325","2.78369","1.90945","3.12537","2.8873"
"09_cello","3.96716","2.51553","4.55952","3.74715","3.28164","1.98834","3.29005","2.50798"
"10_saxophone","3.48473","3.77566","3.26548","3.36063","2.16908","1.52206","2.30552","2.19049"
"11_bassoon","4.1054","4.71789","4.16206","4.34096","3.14279","1.99514","3.4332","3.04312"
"12_doublebass","4.6469","4.48426","4.66233","4.66456","4.48521","3.71525","4.68314","4.26078"
"13_frenchhorn","4.25293","3.45385","4.53948","4.13182","3.13501","1.96135","2.99117","2.44239"
"14_piano","2.66563","1.88603","3.88102","4.06451","2.66249","1.72918","2.7294","3.06037"
"15_trumpet","4.10137","2.71138","4.63589","4.70802","3.33607","1.95694","3.28002","2.71261"
"16_crash","3.42366","1.59963","1.81408","1.98319","1.70975","1.50077","1.91134","1.64932"
