sample,HC AVG,HC SD,MP3 AVG,MP3 SD,ACC AVG,ACC SD,Opus AVG,Opus SD
01_sopranoA,348.099,40.65883912509062,122.764,44.13432115712215,159.175,13.238443073110977,221.847,38.28654582225981
02_sopranoB,335.784,23.469242510145058,127.63,16.87048013543183,158.157,10.20197779844673,215.32,39.19486701087274
03_mezzosoprano,497.121,23.77125068228426,109.189,32.382051803429626,150.614,10.827326724542859,237.308,36.11787834300348
04_baritone,588.084,35.062557579275364,114.537,27.641755208379948,158.261,12.52305390070649,211.109,41.15136837336032
05_countertenorA,438.78,39.47150364503486,141.51,27.424622148718843,155.781,9.089941638976567,218.558,38.011401394844675
06_countertenorB,388.288,22.377288843825564,99.307,34.007245566202506,157.396,8.522041070072357,217.955,38.89597633432024
07_bass,517.138,22.305760601243797,128.801,42.92257446845424,155.989,9.25358735842484,218.785,40.23536721592087
08_male,526.835,20.715544284425643,139.42,34.230477647850606,155.863,9.425827868150362,198.254,43.5721181950109
09_cello,335.932,63.06613493785709,136.155,30.040522215833732,144.683,10.23428116674542,235.031,34.694928145191476
10_saxophone,859.804,223.03803169863207,174.0,31.485711044853346,232.882,35.98838807171002,362.547,15.326832386373905
11_bassoon,281.165,24.38093056058361,141.905,19.283308196468777,155.708,10.139464285651387,197.208,47.12195598656745
12_doublebass,406.853,106.01905201896496,119.753,33.407903121866234,161.166,14.083410240421175,212.9,37.72036585188431
13_frenchhorn,395.647,458.65078915336017,161.641,34.42815880932351,158.792,44.963415528627266,287.495,26.69404381130742
14_piano,480.962,30.692679192276458,156.54,24.50086529084228,147.609,12.44050316506531,242.971,33.25976787351349
15_trumpet,411.293,263.20140415848846,437.273,41.67529809131543,292.628,21.54826248215851,882.292,108.69843943681988
16_crash,488.302,34.232131046722756,117.963,44.72245108443856,152.063,9.298549940716564,195.569,47.49841301559453
Average,456.25543749999997,89.44457125238817,151.77425000000002,32.44735912440823,168.54793750000002,15.111154644595427,272.1968125,41.65501682480285
SD,131.48952067891608,118.92374106665564,76.15638928588001,8.01065189149311,37.38169841391097,10.179302824585879,162.54205479783485,18.849988667447306
