sample,CMP AVG,CMP SD,MP3 AVG,MP3 SD,AAC AVG,AAC SD,Opus AVG,Opus SD
01_sopranoA,143.644,28.103260736078298,149.556,10.642032888503962,156.742,50.78995408542914,155.406,49.6182946502598
02_sopranoB,81.07,35.40984467630436,152.492,13.124630890047918,141.228,46.20032484734279,143.345,46.98818973955051
03_mezzosoprano,75.369,25.444347879244223,149.062,9.199138872742383,140.279,46.55067302413575,152.685,49.14061227742284
04_baritone,78.969,36.32764840999208,150.403,8.419298723765538,131.891,41.87516112207808,142.915,46.88551775335322
05_countertenorA,75.628,29.270183053749427,151.286,10.031759765863615,143.023,47.99094155150532,150.988,49.161711280222946
06_countertenorB,80.903,35.35654947813771,151.217,10.184199084856893,144.206,49.22523300097218,160.639,52.28912581981076
07_bass,97.974,43.799010536768975,155.509,13.47122559383518,168.248,50.09034334080772,172.896,47.495528042122025
08_male,92.608,43.518574609010344,151.951,9.860760569043343,145.011,47.92313511238596,149.395,48.283671929545704
09_cello,76.42,27.928401314790648,149.397,7.699700708469129,147.807,49.16508670794754,157.407,49.52422993848566
10_saxophone,110.374,39.85446178284183,133.49,10.715871406469937,198.137,41.68203727026787,209.884,38.00266495918411
11_bassoon,142.378,25.479346851911256,149.868,9.63392837839269,141.878,47.97579718983312,143.287,47.12834212021467
12_doublebass,73.783,29.33577868405746,151.41,8.186323961339424,134.546,46.3685441220662,146.839,48.41546322199138
13_frenchhorn,84.614,28.886554034706183,145.681,11.679436587438627,161.76,51.44500364466894,175.716,51.177840360843675
14_piano,110.9,48.420305657853916,149.985,12.994721043562265,159.861,51.07128037361115,167.218,51.27297997971251
15_trumpet,208.197,51.32364163813787,198.512,24.11517895434326,218.183,22.91596628990364,264.422,23.70573593036082
16_crash,90.977,20.655470728114622,150.945,9.000109721553399,142.979,47.589353420696945,151.343,48.988808426006855
Average,101.48800000000001,34.3195862544812,152.54775,11.184894821889223,154.73618749999997,46.17867719397827,165.27406249999999,46.754919776817964
SD,34.98620189624761,8.668731579431043,12.720047481731346,3.7434095185105862,22.619940285671486,6.605171424864839,30.398302955240673,6.692653162297896
