Sample,n,m,r
01_sopranoA,114562,62.22813688212928,30.596960391253663
02_sopranoB,101401,83.04750204750205,40.15805640003853
03_mezzosoprano,187650,84.45094509450945,41.43801098326432
04_baritone,81099,62.62471042471042,30.57311487798637
05_countertenorA,108939,42.38871595330739,21.02100131251164
06_countertenorB,106486,42.5603517186251,21.100708716132917
07_bass,115710,126.59737417943107,59.19889258450313
08_male,53540,345.4193548387097,81.68815828329559
09_cello,152757,325.70788912579957,120.87999237361203
10_saxophone,874265,30.464318070945712,15.224078486839499
11_bassoon,62114,100.02254428341385,46.28387225280659
12_doublebass,61231,665.554347826087,72.07425888253432
13_frenchhorn,384239,84.02339820686639,41.62925524919545
14_piano,208565,84.03102336825141,41.31610900062119
15_trumpet,3113812,99.5591507865456,49.700471021093634
16_crash,71867,9.663439558961947,4.828582713647386
