"Sample","Original duration (ms)","Original size (KB)","Original sample rate (fps)","Bitrate (Kbit/s)","ACC compression time (ms)","ACC Comp Time / Orig dur","ACC size (KB)","ACC rate","ACC sample rate","ACC Bit Rate","Opus compression time (ms)","Opus Comp Time / Orig dur","Opus size (KB)","Opus rate","Opus sample rate","Opus Bit Rate"
"01_sopranoA","2597.778","224.349609375","44100","8","137","0.052737377866776916","3.873046875","57.92586989409985","44100","8262","146","0.05620187714269657","2.9453125","76.17175066312997","48000","9264"
"01_sopranoA","2597.778","224.349609375","44100","16","131","0.05042771168283049","6.5146484375","34.43771548493479","44100","16518","134","0.0515825447748037","6.3271484375","35.458249729896586","48000","19902"
"01_sopranoA","2597.778","224.349609375","44100","24","142","0.05466209968673228","9.0859375","24.69196044711952","44100","24555","150","0.05774165459866086","12.201171875","18.387546022090604","48000","38379"
"01_sopranoA","2597.778","224.349609375","44100","32","132","0.05081265604682156","11.640625","19.272986577181207","44100","32540","151","0.05812659896265193","15.1162109375","14.841656437754377","48000","47549"
"01_sopranoA","2597.778","224.349609375","44100","40","126","0.04850298986287512","14.2314453125","15.764358745625472","44100","40637","135","0.05196748913879477","17.8408203125","12.575072527231923","48000","56119"
"01_sopranoA","2597.778","224.349609375","44100","48","134","0.0515825447748037","16.82421875","13.334919897840724","44100","48741","132","0.05081265604682156","20.505859375","10.940756262501191","48000","64502"
"01_sopranoA","2597.778","224.349609375","44100","64","120","0.046193323678928686","21.9521484375","10.219938609368745","44100","64769","145","0.055816932778705496","27.0244140625","8.30173815632566","48000","85007"
"01_sopranoA","2597.778","224.349609375","44100","80","140","0.05389221095875014","27.0625","8.290054849884527","44100","80741","126","0.04850298986287512","31.7216796875","7.072437890588923","48000","99782"
"01_sopranoA","2597.778","224.349609375","44100","96","140","0.05389221095875014","32.1943359375","6.968604968604969","44100","96781","124","0.04773310113489298","36.08984375","6.216419525922719","48000","113523"
"01_sopranoA","2597.778","224.349609375","44100","112","159","0.06120615387458051","37.23828125","6.024703660967167","44100","112546","144","0.055431988414714424","41.0791015625","5.461404968501129","48000","129217"
