"Sample","Original duration (ms)","q","qxy","Original size (KB)","Compression time (ms)","Comp Time / Orig dur","size (KB)","rate","Decompression time (ms","Decomp Time / Orig dur"
"01_sopranoA","2597.778","0.00","0.00","224.349609375","521","0.20055601363934872","3.638671875","61.65700483091788","82","0.03156543784726794"
"01_sopranoA","2597.778","0.00","0.10","224.349609375","468","0.18015396234782188","3.638671875","61.65700483091788","65","0.025021383659419708"
"01_sopranoA","2597.778","0.00","0.20","224.349609375","532","0.20479040164325052","3.638671875","61.65700483091788","143","0.05504704405072335"
"01_sopranoA","2597.778","0.00","0.30","224.349609375","512","0.19709151436342906","3.638671875","61.65700483091788","131","0.05042771168283049"
"01_sopranoA","2597.778","0.00","0.40","224.349609375","492","0.18939262708360763","3.638671875","61.65700483091788","45","0.01732249637959826"
"01_sopranoA","2597.778","0.00","0.50","224.349609375","496","0.19093240453957191","3.638671875","61.65700483091788","55","0.02117194001950898"
"01_sopranoA","2597.778","0.00","0.60","224.349609375","558","0.2147989551070184","3.638671875","61.65700483091788","98","0.0377245476711251"
"01_sopranoA","2597.778","0.00","0.70","224.349609375","460","0.1770744074358933","3.638671875","61.65700483091788","83","0.03195038221125901"
"01_sopranoA","2597.778","0.00","0.80","224.349609375","549","0.21133445583109875","3.638671875","61.65700483091788","102","0.03926432512708938"
"01_sopranoA","2597.778","0.00","0.90","224.349609375","488","0.18785284962764334","3.638671875","61.65700483091788","55","0.02117194001950898"
"01_sopranoA","2597.778","0.00","1.00","224.349609375","490","0.18862273835562549","3.638671875","61.65700483091788","62","0.02386655056744649"
"01_sopranoA","2597.778","0.10","0.00","224.349609375","517","0.19901623618338443","3.716796875","60.36100893326327","138","0.053122322230767995"
"01_sopranoA","2597.778","0.10","0.10","224.349609375","672","0.25868261260200065","7.458984375","30.077769049489394","43","0.016552607651616112"
"01_sopranoA","2597.778","0.10","0.20","224.349609375","517","0.19901623618338443","7.189453125","31.205378973105134","137","0.052737377866776916"
"01_sopranoA","2597.778","0.10","0.30","224.349609375","469","0.18053890671181297","6.466796875","34.69254001812141","163","0.0627459313305448"
"01_sopranoA","2597.778","0.10","0.40","224.349609375","509","0.19593668127145586","6.466796875","34.69254001812141","103","0.039649269491080455"
"01_sopranoA","2597.778","0.10","0.50","224.349609375","475","0.1828485728957594","6.466796875","34.69254001812141","151","0.05812659896265193"
"01_sopranoA","2597.778","0.10","0.60","224.349609375","500","0.1924721819955362","6.466796875","34.69254001812141","134","0.0515825447748037"
