"Sample","Original size (KB)","Compressed size (KB)","q","Rate","MOS-LQO speech","MOS-LQO audio","MSE","AVG Absolute Error"
"01_sopranoA","223.796875","3.638671875","0.00","61.505099302200755","2.60323","3.52447","0.042750640719072676","0.00020738920222652883"
"01_sopranoA","223.796875","7.185546875","0.10","31.145419951073663","3.18892","3.89864","0.0009226033409166241","7.165828788441325E-05"
"01_sopranoA","223.796875","14.791015625","0.20","15.130595536775386","3.59777","4.0018","0.00041268022973849566","5.671286578433222E-05"
"01_sopranoA","223.796875","26.427734375","0.30","8.468258074052176","3.84838","3.96048","0.00024504849997115084","4.387093577713503E-05"
"01_sopranoA","223.796875","42.021484375","0.40","5.325772716709273","4.02768","4.02655","0.00022054178251165054","4.18625714232642E-05"
"01_sopranoA","223.796875","61.705078125","0.50","3.6268793720127874","4.81291","4.4224","0.00019861323834854093","3.817449655396758E-05"
"01_sopranoA","223.796875","85.419921875","0.60","2.619961129530125","4.94796","4.51453","0.00017429700495640157","3.464193143223448E-05"
"01_sopranoA","223.796875","113.044921875","0.70","1.9797163047046424","4.94415","4.53443","0.0001777706187975542","3.405068614336387E-05"
"01_sopranoA","223.796875","144.806640625","0.80","1.5454876519065024","4.94096","4.69354","0.0001860651968262945","3.41683093314667E-05"
"01_sopranoA","223.796875","180.599609375","0.90","1.2391880346501996","4.93702","4.66871","0.0002002712677326475","3.474420266263967E-05"
"01_sopranoA","223.796875","215.216796875","1.00","1.0398671397845558","4.93066","4.68319","0.00021323371824087984","3.546892867479404E-05"
"02_sopranoB","198.091796875","2.421875","0.00","81.79274193548387","1.9922","2.99453","0.1081533097819045","0.00025920301958301485"
"02_sopranoB","198.091796875","5.3125","0.10","37.287867647058825","2.11819","3.36974","0.006205862055726743","0.00011934872936899627"
"02_sopranoB","198.091796875","12.02734375","0.20","16.470120168886","3.49022","3.85556","0.0021260615638712195","8.564659256019625E-05"
"02_sopranoB","198.091796875","22.5390625","0.30","8.788821490467937","4.17311","3.79664","0.0013640014854364817","7.273031617415773E-05"
"02_sopranoB","198.091796875","35.5703125","0.40","5.5690204260926865","3.69091","3.38644","0.0014009493719404614","7.05827151603377E-05"
"02_sopranoB","198.091796875","53.359375","0.50","3.7124084919472913","4.84554","3.86743","0.0013882195037583384","6.957832274922442E-05"
"02_sopranoB","198.091796875","74.9453125","0.60","2.6431512561242574","4.85991","4.09037","0.0014110270252428586","6.92885491485348E-05"
"02_sopranoB","198.091796875","98.1015625","0.70","2.0192522099227523","4.86436","4.25028","0.0014208112374079404","7.004528972881475E-05"
"02_sopranoB","198.091796875","126.96484375","0.80","1.5602098267852198","4.86373","4.37077","0.0014405749617033105","7.099411019485708E-05"
"02_sopranoB","198.091796875","159.625","0.90","1.2409822826938137","4.85984","4.38539","0.0014538449725265245","7.18985520682434E-05"
"02_sopranoB","198.091796875","192.90625","1.00","1.0268811760894216","4.85698","4.47627","0.0014622961864099726","7.283821773858122E-05"
"03_mezzosoprano","366.546875","4.548828125","0.00","80.58050665521684","1.69429","2.79605","0.07227668900275602","0.000285900629432838"
"03_mezzosoprano","366.546875","9.759765625","0.10","37.5569341604963","2.52485","3.02809","0.005018491263470524","0.00011522457190952413"
"03_mezzosoprano","366.546875","21.830078125","0.20","16.790909904267693","3.48585","3.28492","0.0019254857412578856","7.133953660350386E-05"
